data_pagamento,ano,mes,id_tempo
2019-04-04,2019,4,959
2019-04-05,2019,4,960
2019-04-08,2019,4,961
2019-04-09,2019,4,962
2019-04-10,2019,4,963
2019-04-11,2019,4,964
2019-04-12,2019,4,965
2019-04-15,2019,4,966
2019-04-16,2019,4,967
2019-04-17,2019,4,968
2019-04-18,2019,4,969
2019-04-22,2019,4,970
2019-04-23,2019,4,971
2019-04-24,2019,4,972
2019-04-25,2019,4,973
2019-04-26,2019,4,974
2019-04-29,2019,4,975
2019-04-30,2019,4,976
2019-05-02,2019,5,977
2019-05-03,2019,5,978
2019-05-06,2019,5,979
2019-05-07,2019,5,980
2019-05-08,2019,5,981
2019-05-09,2019,5,982
2019-05-10,2019,5,983
2019-05-13,2019,5,984
2019-05-14,2019,5,985
2019-05-15,2019,5,986
2019-05-16,2019,5,987
2019-05-17,2019,5,988
2019-05-20,2019,5,989
2019-05-21,2019,5,990
2019-05-22,2019,5,991
2019-05-23,2019,5,992
2019-05-24,2019,5,993
